user_id,age,country,platform,daily_usage_minutes,content_type,engagement_score,mental_fatigue_level,date
36,62,Pakistan,YouTube,292,Posts,7.03,10,2023-01-02 11:00:00
37,59,Germany,TikTok,261,Shorts,5.62,10,2023-01-02 12:00:00
38,18,Germany,Instagram,277,Posts,5.23,3,2023-01-02 13:00:00
39,52,USA,Facebook,141,Shorts,1.11,6,2023-01-02 14:00:00
40,22,USA,Instagram,344,Live,1.87,6,2023-01-02 15:00:00
41,36,Canada,TikTok,305,Live,8.89,3,2023-01-02 16:00:00
42,24,India,TikTok,326,Stories,4.4,9,2023-01-02 17:00:00
43,54,India,YouTube,36,Shorts,6.34,8,2023-01-02 18:00:00
44,33,Canada,X,49,Shorts,5.52,3,2023-01-02 19:00:00
45,19,Canada,Instagram,269,Stories,4.1,5,2023-01-02 20:00:00
46,40,Australia,YouTube,34,Stories,4.18,5,2023-01-02 21:00:00
47,29,Pakistan,Facebook,88,Live,5.78,5,2023-01-02 22:00:00
48,24,Germany,X,170,Live,1.84,3,2023-01-02 23:00:00
49,41,Brazil,YouTube,320,Shorts,4.18,5,2023-01-03 00:00:00
50,17,Canada,Instagram,5,Live,4.75,5,2023-01-03 01:00:00
51,35,UK,TikTok,253,Live,9.86,4,2023-01-03 02:00:00
52,43,India,Facebook,265,Shorts,3.84,4,2023-01-03 03:00:00
53,62,Canada,Instagram,67,Stories,6.62,2,2023-01-03 04:00:00
54,22,UK,X,168,Shorts,1.81,9,2023-01-03 05:00:00
55,59,UK,X,325,Reels,1.12,7,2023-01-03 06:00:00
56,23,UK,TikTok,338,Shorts,8.78,1,2023-01-03 07:00:00
57,62,Australia,TikTok,205,Reels,7.44,5,2023-01-03 08:00:00
58,50,Australia,Facebook,226,Shorts,3.52,2,2023-01-03 09:00:00
59,29,Brazil,Facebook,156,Reels,5.29,10,2023-01-03 10:00:00
60,32,Brazil,TikTok,136,Reels,1.79,6,2023-01-03 11:00:00
61,51,UK,TikTok,118,Shorts,7.22,7,2023-01-03 12:00:00
62,55,Pakistan,X,221,Live,1.17,2,2023-01-03 13:00:00
63,19,Australia,TikTok,200,Posts,7.69,6,2023-01-03 14:00:00
64,17,Germany,YouTube,285,Live,5.69,3,2023-01-03 15:00:00
65,21,UK,Instagram,206,Reels,3.15,9,2023-01-03 16:00:00
66,57,Germany,TikTok,139,Shorts,8.69,4,2023-01-03 17:00:00
67,19,Germany,Facebook,238,Shorts,9.87,3,2023-01-03 18:00:00
68,44,UK,YouTube,145,Shorts,2.92,3,2023-01-03 19:00:00
69,33,India,Facebook,200,Shorts,8.16,2,2023-01-03 20:00:00
70,41,Pakistan,YouTube,47,Posts,7.63,9,2023-01-03 21:00:00
71,59,UK,TikTok,61,Stories,7.6,8,2023-01-03 22:00:00
72,49,Brazil,Instagram,146,Reels,9.59,5,2023-01-03 23:00:00
73,25,UK,Facebook,214,Posts,5.12,9,2023-01-04 00:00:00
74,51,Australia,YouTube,76,Live,6.9,2,2023-01-04 01:00:00
75,29,UK,X,228,Stories,8.33,6,2023-01-04 02:00:00
76,46,India,TikTok,31,Stories,5.06,7,2023-01-04 03:00:00
77,63,Australia,Instagram,132,Shorts,5.07,6,2023-01-04 04:00:00
78,30,Brazil,TikTok,110,Posts,3.53,3,2023-01-04 05:00:00
79,23,USA,X,169,Live,7.92,10,2023-01-04 06:00:00
80,29,USA,Instagram,219,Shorts,7.02,10,2023-01-04 07:00:00
81,38,Germany,X,75,Shorts,4.79,10,2023-01-04 08:00:00
82,55,Pakistan,TikTok,208,Reels,4.48,9,2023-01-04 09:00:00
83,36,Germany,YouTube,157,Stories,1.19,8,2023-01-04 10:00:00
84,31,India,TikTok,71,Live,0.56,8,2023-01-04 11:00:00
85,60,Canada,TikTok,94,Stories,5.52,8,2023-01-04 12:00:00
86,33,Brazil,TikTok,264,Posts,4.47,9,2023-01-04 13:00:00
87,62,Pakistan,Facebook,232,Reels,8.06,1,2023-01-04 14:00:00
88,39,Brazil,X,83,Shorts,5.66,8,2023-01-04 15:00:00
89,41,USA,X,100,Reels,9.4,2,2023-01-04 16:00:00
90,40,Germany,X,353,Shorts,2.36,4,2023-01-04 17:00:00
91,60,Brazil,Facebook,334,Reels,9.91,1,2023-01-04 18:00:00
92,56,USA,YouTube,250,Shorts,3.33,6,2023-01-04 19:00:00
93,44,India,TikTok,276,Stories,6.6,10,2023-01-04 20:00:00
94,30,India,YouTube,161,Stories,5.27,1,2023-01-04 21:00:00
95,60,Canada,Facebook,120,Stories,3.92,5,2023-01-04 22:00:00
96,16,Brazil,X,22,Stories,1.82,9,2023-01-04 23:00:00
97,40,Canada,TikTok,176,Reels,1.78,1,2023-01-05 00:00:00
98,22,Australia,Instagram,20,Shorts,7.26,9,2023-01-05 01:00:00
99,24,Pakistan,Instagram,244,Stories,4.09,4,2023-01-05 02:00:00
100,39,Brazil,YouTube,60,Reels,9.63,3,2023-01-05 03:00:00
101,16,India,X,83,Shorts,3.59,8,2023-01-05 04:00:00
102,59,Germany,Instagram,107,Reels,9.84,6,2023-01-05 05:00:00
103,23,USA,YouTube,288,Stories,2.45,7,2023-01-05 06:00:00
104,39,UK,Facebook,197,Posts,1.48,9,2023-01-05 07:00:00
105,26,Canada,YouTube,9,Reels,3.47,5,2023-01-05 08:00:00
106,32,UK,YouTube,110,Stories,8.91,2,2023-01-05 09:00:00
107,23,Brazil,YouTube,282,Live,5.46,3,2023-01-05 10:00:00
108,50,Germany,TikTok,104,Shorts,1.79,3,2023-01-05 11:00:00
109,50,Canada,YouTube,242,Stories,2.42,4,2023-01-05 12:00:00
110,48,UK,YouTube,273,Live,3.46,10,2023-01-05 13:00:00
111,20,Pakistan,TikTok,325,Reels,6.11,7,2023-01-05 14:00:00
112,57,Germany,TikTok,90,Reels,3.66,10,2023-01-05 15:00:00
113,54,USA,Facebook,324,Live,7.6,6,2023-01-05 16:00:00
114,56,Pakistan,X,36,Live,6.35,3,2023-01-05 17:00:00
115,43,Germany,Instagram,340,Shorts,8.8,7,2023-01-05 18:00:00
116,22,Australia,Instagram,55,Reels,5.26,4,2023-01-05 19:00:00
117,24,Canada,YouTube,83,Live,3.65,10,2023-01-05 20:00:00
118,23,India,Facebook,190,Posts,9.96,8,2023-01-05 21:00:00
119,27,USA,YouTube,178,Posts,3.88,7,2023-01-05 22:00:00
120,49,Brazil,Instagram,110,Live,4.57,7,2023-01-05 23:00:00
121,48,Pakistan,TikTok,67,Shorts,8.19,9,2023-01-06 00:00:00
122,63,Pakistan,X,80,Reels,1.34,8,2023-01-06 01:00:00
123,38,UK,Facebook,320,Posts,4.17,1,2023-01-06 02:00:00
124,39,Canada,TikTok,325,Live,1.31,7,2023-01-06 03:00:00
125,52,Brazil,X,85,Live,1.82,3,2023-01-06 04:00:00
126,50,India,Facebook,132,Stories,0.54,4,2023-01-06 05:00:00
127,59,Germany,Facebook,187,Live,0.59,6,2023-01-06 06:00:00
128,55,India,Instagram,247,Shorts,4.11,5,2023-01-06 07:00:00
129,37,Canada,TikTok,189,Posts,8.19,8,2023-01-06 08:00:00
130,42,Canada,Facebook,224,Stories,6.08,2,2023-01-06 09:00:00
131,50,Australia,Facebook,75,Posts,6.53,5,2023-01-06 10:00:00
132,16,Australia,X,346,Posts,5.43,5,2023-01-06 11:00:00
133,50,India,Instagram,158,Shorts,8.29,3,2023-01-06 12:00:00
134,52,Germany,YouTube,249,Live,8.86,10,2023-01-06 13:00:00
135,62,India,Instagram,144,Shorts,8.57,5,2023-01-06 14:00:00
136,29,Canada,YouTube,75,Live,8.22,4,2023-01-06 15:00:00
137,18,Canada,TikTok,50,Stories,2.24,5,2023-01-06 16:00:00
138,16,UK,TikTok,51,Shorts,6.14,10,2023-01-06 17:00:00
139,20,Australia,Facebook,83,Shorts,6.03,9,2023-01-06 18:00:00
140,41,Brazil,TikTok,153,Reels,5.52,7,2023-01-06 19:00:00
141,29,Brazil,Facebook,134,Shorts,5.07,1,2023-01-06 20:00:00
142,54,Brazil,Instagram,131,Reels,1.35,3,2023-01-06 21:00:00
143,42,UK,TikTok,123,Live,1.47,9,2023-01-06 22:00:00
144,24,USA,Instagram,266,Live,9.07,4,2023-01-06 23:00:00
145,30,Brazil,Instagram,248,Live,6.49,4,2023-01-07 00:00:00
146,30,Canada,TikTok,107,Reels,2.99,10,2023-01-07 01:00:00
147,41,UK,Instagram,41,Live,3.15,6,2023-01-07 02:00:00
148,57,India,TikTok,146,Posts,6.3,3,2023-01-07 03:00:00
149,28,Australia,TikTok,41,Shorts,4.37,3,2023-01-07 04:00:00
150,47,Australia,TikTok,12,Reels,4.69,9,2023-01-07 05:00:00
151,54,Germany,YouTube,235,Live,1.08,5,2023-01-07 06:00:00
152,64,India,Instagram,337,Posts,1.82,7,2023-01-07 07:00:00
153,47,Germany,X,300,Shorts,4.24,5,2023-01-07 08:00:00
154,19,UK,TikTok,111,Shorts,7.15,6,2023-01-07 09:00:00
155,45,Pakistan,Instagram,352,Live,0.96,8,2023-01-07 10:00:00
156,52,Brazil,Facebook,22,Posts,3.68,8,2023-01-07 11:00:00
157,38,USA,TikTok,317,Reels,7.1,2,2023-01-07 12:00:00
158,54,India,TikTok,87,Live,8.02,9,2023-01-07 13:00:00
159,60,India,X,292,Shorts,2.31,10,2023-01-07 14:00:00
160,30,India,YouTube,198,Shorts,7.45,6,2023-01-07 15:00:00
161,58,Germany,YouTube,219,Shorts,9.58,7,2023-01-07 16:00:00
162,44,UK,TikTok,285,Live,9.11,3,2023-01-07 17:00:00
163,51,India,Instagram,224,Stories,8.0,4,2023-01-07 18:00:00
164,28,Pakistan,Facebook,293,Stories,7.27,6,2023-01-07 19:00:00
165,47,India,Facebook,348,Stories,2.73,7,2023-01-07 20:00:00
166,22,Australia,Instagram,198,Posts,6.52,6,2023-01-07 21:00:00
167,37,Brazil,TikTok,162,Live,6.61,5,2023-01-07 22:00:00
168,43,USA,Facebook,108,Shorts,4.36,2,2023-01-07 23:00:00
169,17,Brazil,YouTube,38,Posts,5.18,7,2023-01-08 00:00:00
170,57,Australia,Instagram,106,Stories,7.09,5,2023-01-08 01:00:00
171,60,Australia,X,131,Reels,9.54,9,2023-01-08 02:00:00
172,21,USA,TikTok,218,Posts,3.31,4,2023-01-08 03:00:00
173,43,Pakistan,Instagram,329,Posts,2.84,10,2023-01-08 04:00:00
174,43,UK,Facebook,300,Live,6.22,2,2023-01-08 05:00:00
175,59,Australia,TikTok,183,Posts,1.74,7,2023-01-08 06:00:00
176,59,UK,YouTube,84,Live,6.03,7,2023-01-08 07:00:00
177,35,Australia,TikTok,145,Reels,1.34,1,2023-01-08 08:00:00
178,45,Canada,TikTok,35,Shorts,5.16,5,2023-01-08 09:00:00
179,26,USA,YouTube,67,Shorts,6.39,3,2023-01-08 10:00:00
180,43,Australia,YouTube,52,Stories,1.17,9,2023-01-08 11:00:00
181,40,Canada,TikTok,91,Stories,2.47,9,2023-01-08 12:00:00
182,54,Brazil,YouTube,308,Reels,3.69,7,2023-01-08 13:00:00
183,48,Germany,Instagram,65,Shorts,4.0,9,2023-01-08 14:00:00
184,16,Canada,YouTube,338,Stories,6.92,2,2023-01-08 15:00:00
185,42,India,YouTube,278,Posts,5.53,10,2023-01-08 16:00:00
186,28,Australia,TikTok,288,Live,4.13,8,2023-01-08 17:00:00
187,56,Canada,Instagram,84,Stories,4.78,10,2023-01-08 18:00:00
188,18,UK,X,184,Reels,0.62,10,2023-01-08 19:00:00
189,54,Germany,X,276,Shorts,7.82,10,2023-01-08 20:00:00
190,21,Pakistan,Facebook,81,Reels,0.89,1,2023-01-08 21:00:00
191,23,Australia,YouTube,225,Live,8.38,3,2023-01-08 22:00:00
192,42,India,YouTube,286,Live,5.64,8,2023-01-08 23:00:00
193,24,Pakistan,Instagram,32,Reels,5.51,8,2023-01-09 00:00:00
194,52,Canada,X,81,Stories,7.19,10,2023-01-09 01:00:00
195,48,Pakistan,Facebook,168,Stories,8.67,8,2023-01-09 02:00:00
196,57,Pakistan,Instagram,13,Shorts,9.46,7,2023-01-09 03:00:00
197,59,Germany,YouTube,179,Shorts,5.66,2,2023-01-09 04:00:00
198,39,Brazil,X,311,Posts,1.93,3,2023-01-09 05:00:00
199,30,Pakistan,Facebook,80,Posts,8.85,9,2023-01-09 06:00:00
200,47,Pakistan,TikTok,249,Shorts,0.89,2,2023-01-09 07:00:00
201,47,Australia,X,126,Posts,8.17,7,2023-01-09 08:00:00
202,39,Brazil,Facebook,189,Reels,6.96,1,2023-01-09 09:00:00
203,56,Germany,Instagram,36,Stories,9.09,3,2023-01-09 10:00:00
204,64,India,TikTok,254,Posts,9.03,1,2023-01-09 11:00:00
205,64,Canada,Facebook,61,Posts,1.0,6,2023-01-09 12:00:00
206,27,Germany,Facebook,314,Reels,6.29,4,2023-01-09 13:00:00
207,54,Germany,YouTube,148,Live,1.68,1,2023-01-09 14:00:00
208,17,USA,X,322,Shorts,1.25,5,2023-01-09 15:00:00
209,18,Germany,YouTube,88,Reels,4.76,4,2023-01-09 16:00:00
210,64,Brazil,TikTok,60,Live,1.43,10,2023-01-09 17:00:00
211,52,USA,Facebook,283,Reels,7.42,10,2023-01-09 18:00:00
212,64,Canada,YouTube,277,Stories,9.7,2,2023-01-09 19:00:00
213,32,Pakistan,X,170,Reels,5.91,7,2023-01-09 20:00:00
214,64,Australia,TikTok,162,Reels,2.73,8,2023-01-09 21:00:00
215,17,Australia,Instagram,253,Stories,8.51,4,2023-01-09 22:00:00
216,17,Canada,YouTube,190,Shorts,8.6,9,2023-01-09 23:00:00
217,43,Canada,TikTok,82,Live,7.46,3,2023-01-10 00:00:00
218,38,Brazil,Instagram,26,Posts,6.34,6,2023-01-10 01:00:00
219,52,UK,YouTube,112,Shorts,8.74,7,2023-01-10 02:00:00
220,47,Pakistan,TikTok,277,Reels,2.05,7,2023-01-10 03:00:00
221,48,Canada,TikTok,256,Posts,9.35,6,2023-01-10 04:00:00
222,16,Germany,YouTube,19,Stories,9.5,9,2023-01-10 05:00:00
223,34,Brazil,TikTok,308,Shorts,8.78,1,2023-01-10 06:00:00
224,17,Australia,Facebook,164,Live,2.88,9,2023-01-10 07:00:00
225,59,India,YouTube,209,Shorts,8.65,9,2023-01-10 08:00:00
226,41,Brazil,TikTok,117,Shorts,5.23,4,2023-01-10 09:00:00
227,47,Australia,Instagram,172,Posts,6.15,5,2023-01-10 10:00:00
228,21,USA,Instagram,357,Stories,8.49,3,2023-01-10 11:00:00
229,47,Brazil,Facebook,257,Stories,0.78,7,2023-01-10 12:00:00
230,19,Australia,YouTube,190,Shorts,3.95,2,2023-01-10 13:00:00
231,26,UK,TikTok,351,Stories,8.25,8,2023-01-10 14:00:00
232,32,Brazil,TikTok,231,Posts,8.23,9,2023-01-10 15:00:00
233,53,Brazil,Instagram,20,Posts,8.56,6,2023-01-10 16:00:00
234,39,Pakistan,Facebook,160,Live,2.11,9,2023-01-10 17:00:00
235,20,Canada,Instagram,358,Stories,7.21,6,2023-01-10 18:00:00
236,49,Pakistan,Instagram,115,Live,1.89,3,2023-01-10 19:00:00
237,21,Brazil,Facebook,5,Reels,7.96,10,2023-01-10 20:00:00
238,37,Canada,YouTube,45,Posts,2.83,3,2023-01-10 21:00:00
239,26,Australia,TikTok,52,Shorts,7.51,2,2023-01-10 22:00:00
240,63,India,YouTube,112,Posts,4.82,5,2023-01-10 23:00:00
241,31,India,X,165,Reels,9.87,4,2023-01-11 00:00:00
242,48,Brazil,X,165,Shorts,6.01,6,2023-01-11 01:00:00
243,24,UK,X,132,Stories,6.51,5,2023-01-11 02:00:00
244,21,USA,Facebook,214,Stories,4.0,6,2023-01-11 03:00:00
245,31,Australia,Instagram,155,Posts,7.48,4,2023-01-11 04:00:00
246,44,Canada,YouTube,259,Shorts,5.2,3,2023-01-11 05:00:00
247,18,Brazil,TikTok,222,Shorts,0.67,1,2023-01-11 06:00:00
248,35,Australia,X,34,Live,6.28,5,2023-01-11 07:00:00
249,51,Brazil,YouTube,49,Reels,8.39,6,2023-01-11 08:00:00
250,34,UK,X,84,Stories,2.75,5,2023-01-11 09:00:00
251,41,Germany,X,43,Posts,2.6,5,2023-01-11 10:00:00
252,18,Germany,TikTok,244,Shorts,6.28,6,2023-01-11 11:00:00
253,34,UK,Facebook,49,Stories,8.27,4,2023-01-11 12:00:00
254,35,Canada,Instagram,82,Posts,2.87,4,2023-01-11 13:00:00
255,47,Pakistan,Facebook,341,Stories,9.36,8,2023-01-11 14:00:00
256,22,UK,YouTube,353,Posts,9.31,8,2023-01-11 15:00:00
257,56,Brazil,Facebook,292,Stories,2.41,3,2023-01-11 16:00:00
258,48,Canada,YouTube,284,Live,3.01,7,2023-01-11 17:00:00
259,55,India,YouTube,120,Reels,7.16,5,2023-01-11 18:00:00
260,54,UK,Instagram,273,Stories,9.54,5,2023-01-11 19:00:00
261,33,Canada,TikTok,339,Reels,7.24,3,2023-01-11 20:00:00
262,55,UK,Instagram,316,Stories,4.73,2,2023-01-11 21:00:00
263,16,UK,Facebook,57,Shorts,2.11,3,2023-01-11 22:00:00
264,26,Pakistan,YouTube,72,Live,4.88,7,2023-01-11 23:00:00
265,43,Pakistan,X,186,Live,6.26,3,2023-01-12 00:00:00
266,40,Brazil,X,38,Reels,3.64,2,2023-01-12 01:00:00
267,38,Canada,YouTube,288,Shorts,5.35,4,2023-01-12 02:00:00
268,46,Canada,Instagram,310,Posts,1.74,5,2023-01-12 03:00:00
269,45,USA,TikTok,253,Live,4.8,7,2023-01-12 04:00:00
270,57,UK,Instagram,115,Shorts,1.36,1,2023-01-12 05:00:00
271,50,Germany,YouTube,98,Shorts,0.97,8,2023-01-12 06:00:00
272,22,UK,YouTube,183,Reels,8.64,10,2023-01-12 07:00:00
273,31,UK,TikTok,51,Shorts,2.45,3,2023-01-12 08:00:00
274,41,Canada,Facebook,286,Shorts,5.96,6,2023-01-12 09:00:00
275,63,UK,Facebook,344,Posts,1.92,4,2023-01-12 10:00:00
276,64,Australia,TikTok,96,Reels,2.99,5,2023-01-12 11:00:00
277,17,UK,Facebook,216,Reels,3.93,10,2023-01-12 12:00:00
278,16,Australia,X,79,Shorts,1.86,6,2023-01-12 13:00:00
279,63,Pakistan,Facebook,206,Posts,0.94,2,2023-01-12 14:00:00
280,27,Germany,Facebook,301,Stories,8.83,3,2023-01-12 15:00:00
281,20,Brazil,Facebook,312,Live,0.61,8,2023-01-12 16:00:00
282,52,Canada,X,215,Reels,1.08,8,2023-01-12 17:00:00
283,47,UK,Facebook,342,Posts,8.15,1,2023-01-12 18:00:00
284,24,Australia,X,138,Posts,3.18,10,2023-01-12 19:00:00
285,56,Australia,TikTok,334,Shorts,7.37,8,2023-01-12 20:00:00
286,50,Pakistan,Instagram,70,Live,1.89,2,2023-01-12 21:00:00
287,34,Australia,TikTok,284,Reels,2.75,10,2023-01-12 22:00:00
288,63,Brazil,Instagram,32,Stories,5.94,10,2023-01-12 23:00:00
289,31,India,TikTok,121,Shorts,9.89,8,2023-01-13 00:00:00
290,18,USA,Instagram,321,Reels,1.2,10,2023-01-13 01:00:00
291,35,Brazil,Instagram,329,Reels,4.31,5,2023-01-13 02:00:00
292,39,Germany,YouTube,118,Posts,0.91,1,2023-01-13 03:00:00
293,48,Brazil,Instagram,79,Live,2.39,8,2023-01-13 04:00:00
294,39,Pakistan,Instagram,206,Stories,9.12,5,2023-01-13 05:00:00
295,26,Pakistan,YouTube,63,Live,1.42,1,2023-01-13 06:00:00
296,64,Brazil,Facebook,19,Posts,8.64,4,2023-01-13 07:00:00
297,23,UK,Facebook,235,Stories,2.19,1,2023-01-13 08:00:00
298,51,India,YouTube,109,Stories,8.69,9,2023-01-13 09:00:00
299,53,UK,X,169,Shorts,5.61,10,2023-01-13 10:00:00
300,55,UK,Instagram,203,Stories,8.84,2,2023-01-13 11:00:00
301,35,Brazil,Instagram,358,Reels,1.94,8,2023-01-13 12:00:00
302,50,Canada,YouTube,39,Live,7.74,4,2023-01-13 13:00:00
303,63,Canada,YouTube,166,Live,6.97,9,2023-01-13 14:00:00
304,40,Canada,X,249,Shorts,5.66,2,2023-01-13 15:00:00
305,50,India,Facebook,291,Stories,8.2,3,2023-01-13 16:00:00
306,40,UK,TikTok,23,Posts,6.66,2,2023-01-13 17:00:00
307,44,USA,Facebook,284,Reels,8.83,10,2023-01-13 18:00:00
308,33,Germany,Instagram,344,Shorts,4.12,5,2023-01-13 19:00:00
309,61,Canada,YouTube,352,Stories,6.1,1,2023-01-13 20:00:00
310,33,Canada,X,186,Posts,8.77,3,2023-01-13 21:00:00
311,17,Pakistan,Facebook,151,Stories,2.54,1,2023-01-13 22:00:00
312,50,UK,X,180,Shorts,5.11,10,2023-01-13 23:00:00
313,31,UK,Facebook,167,Posts,9.63,8,2023-01-14 00:00:00
314,56,India,Instagram,179,Posts,5.0,4,2023-01-14 01:00:00
315,51,India,TikTok,51,Posts,2.9,3,2023-01-14 02:00:00
316,48,Canada,X,260,Posts,3.84,8,2023-01-14 03:00:00
317,19,UK,X,178,Stories,8.91,9,2023-01-14 04:00:00
318,48,USA,TikTok,107,Posts,9.57,8,2023-01-14 05:00:00
319,29,Germany,X,125,Stories,9.53,6,2023-01-14 06:00:00
320,36,Brazil,X,354,Posts,7.14,3,2023-01-14 07:00:00
321,63,UK,Facebook,149,Posts,5.34,8,2023-01-14 08:00:00
322,35,Pakistan,Facebook,46,Shorts,2.24,5,2023-01-14 09:00:00
323,23,Brazil,TikTok,33,Stories,1.67,5,2023-01-14 10:00:00
324,22,UK,Instagram,277,Stories,1.07,9,2023-01-14 11:00:00
325,18,Australia,X,18,Live,0.67,1,2023-01-14 12:00:00
326,32,India,Instagram,310,Shorts,8.84,7,2023-01-14 13:00:00
327,48,Pakistan,TikTok,317,Stories,8.19,8,2023-01-14 14:00:00
328,63,Germany,TikTok,193,Shorts,5.89,10,2023-01-14 15:00:00
329,27,Canada,Facebook,299,Shorts,9.99,3,2023-01-14 16:00:00
330,37,Pakistan,X,187,Shorts,9.55,8,2023-01-14 17:00:00
331,37,UK,YouTube,356,Reels,6.72,1,2023-01-14 18:00:00
332,61,Canada,TikTok,40,Stories,4.91,8,2023-01-14 19:00:00
333,45,UK,X,41,Shorts,1.95,7,2023-01-14 20:00:00
334,53,Canada,Instagram,18,Reels,5.4,4,2023-01-14 21:00:00
335,53,Germany,Facebook,127,Reels,2.0,7,2023-01-14 22:00:00
336,60,India,Instagram,87,Posts,4.29,10,2023-01-14 23:00:00
337,23,Germany,TikTok,163,Posts,9.46,7,2023-01-15 00:00:00
338,42,Australia,TikTok,333,Stories,3.75,10,2023-01-15 01:00:00
339,42,USA,Instagram,106,Posts,1.95,1,2023-01-15 02:00:00
340,49,India,TikTok,341,Stories,6.03,3,2023-01-15 03:00:00
341,36,Germany,X,87,Reels,6.22,7,2023-01-15 04:00:00
342,45,Australia,TikTok,48,Reels,2.34,5,2023-01-15 05:00:00
343,48,USA,Facebook,72,Stories,2.37,9,2023-01-15 06:00:00
344,43,Australia,X,52,Posts,9.9,7,2023-01-15 07:00:00
345,62,UK,YouTube,61,Posts,2.81,3,2023-01-15 08:00:00
346,48,Brazil,TikTok,79,Stories,8.46,1,2023-01-15 09:00:00
347,20,UK,TikTok,26,Live,4.97,5,2023-01-15 10:00:00
348,63,Canada,Facebook,136,Posts,4.63,10,2023-01-15 11:00:00
349,34,India,Facebook,306,Shorts,3.3,5,2023-01-15 12:00:00
350,19,UK,Instagram,271,Posts,7.85,7,2023-01-15 13:00:00
351,50,Pakistan,Instagram,291,Live,8.87,1,2023-01-15 14:00:00
352,64,Australia,Instagram,124,Reels,2.98,10,2023-01-15 15:00:00
353,32,India,Facebook,250,Reels,1.4,2,2023-01-15 16:00:00
354,59,Brazil,Instagram,60,Reels,1.8,6,2023-01-15 17:00:00
355,43,Pakistan,Instagram,42,Posts,8.03,8,2023-01-15 18:00:00
356,45,UK,YouTube,249,Reels,4.64,4,2023-01-15 19:00:00
357,44,Canada,Instagram,25,Live,1.75,3,2023-01-15 20:00:00
358,61,Germany,TikTok,114,Live,3.73,3,2023-01-15 21:00:00
359,21,Canada,Facebook,98,Posts,5.39,3,2023-01-15 22:00:00
360,50,Pakistan,X,140,Shorts,8.59,2,2023-01-15 23:00:00
361,56,USA,YouTube,235,Posts,6.6,1,2023-01-16 00:00:00
362,52,UK,Facebook,12,Reels,2.17,5,2023-01-16 01:00:00
363,39,Pakistan,Facebook,332,Posts,2.01,10,2023-01-16 02:00:00
364,44,USA,TikTok,294,Live,4.42,5,2023-01-16 03:00:00
365,64,USA,Instagram,255,Posts,1.21,5,2023-01-16 04:00:00
366,61,Australia,TikTok,91,Posts,7.68,4,2023-01-16 05:00:00
367,46,India,Instagram,208,Shorts,4.31,3,2023-01-16 06:00:00
368,50,Australia,Instagram,223,Live,3.76,3,2023-01-16 07:00:00
369,48,UK,Facebook,245,Stories,5.34,2,2023-01-16 08:00:00
370,36,USA,Instagram,324,Stories,7.24,5,2023-01-16 09:00:00
371,47,Brazil,YouTube,262,Live,5.91,4,2023-01-16 10:00:00
